|                                                 Min Throughput |                                    index |     15176.4 | docs/s |
|                                                Mean Throughput |                                    index |     17071.9 | docs/s |
|                                              Median Throughput |                                    index |     16195.8 | docs/s |
|                                                 Max Throughput |                                    index |     27735.1 | docs/s |
|                                      0th percentile throughput |                                    index |     15176.4 |     ms |
|                                     25th percentile throughput |                                    index |     15603.1 |     ms |
|                                     50th percentile throughput |                                    index |     16198.5 |     ms |
|                                     75th percentile throughput |                                    index |     17880.8 |     ms |
|                                    100th percentile throughput |                                    index |     27735.1 |     ms |
|                                         0th percentile latency |                                    index |     2361.44 |     ms |
|                                        10th percentile latency |                                    index |     8520.44 |     ms |
|                                        20th percentile latency |                                    index |     9206.46 |     ms |
|                                        25th percentile latency |                                    index |     9494.84 |     ms |
|                                        30th percentile latency |                                    index |     9799.21 |     ms |
|                                        40th percentile latency |                                    index |     10256.4 |     ms |
|                                        50th percentile latency |                                    index |     10622.9 |     ms |
|                                        60th percentile latency |                                    index |     11004.7 |     ms |
|                                        70th percentile latency |                                    index |       11461 |     ms |
|                                        75th percentile latency |                                    index |       11741 |     ms |
|                                        80th percentile latency |                                    index |       12054 |     ms |
|                                        90th percentile latency |                                    index |     12883.9 |     ms |
|                                        99th percentile latency |                                    index |     14415.9 |     ms |
|                                      99.9th percentile latency |                                    index |     15273.9 |     ms |
|                                     99.99th percentile latency |                                    index |     15777.3 |     ms |
|                                       100th percentile latency |                                    index |     16160.2 |     ms |
|                                   50th percentile service time |                                    index |     10623.4 |     ms |
|                                   90th percentile service time |                                    index |     12883.6 |     ms |
|                                   99th percentile service time |                                    index |     14415.3 |     ms |
|                                 99.9th percentile service time |                                    index |     15273.9 |     ms |
|                                99.99th percentile service time |                                    index |     15777.3 |     ms |
|                                  100th percentile service time |                                    index |     16160.2 |     ms |
|                                                     error rate |                                    index |           0 |      % |
|                                                 Min Throughput |                 wait-until-merges-finish |       53.66 |  ops/s |
|                                                Mean Throughput |                 wait-until-merges-finish |       53.66 |  ops/s |
|                                              Median Throughput |                 wait-until-merges-finish |       53.66 |  ops/s |
|                                                 Max Throughput |                 wait-until-merges-finish |       53.66 |  ops/s |
|                                    100th percentile throughput |                 wait-until-merges-finish |     53.6582 |     ms |
|                                       100th percentile latency |                 wait-until-merges-finish |     18.2189 |     ms |
|                                  100th percentile service time |                 wait-until-merges-finish |     18.2189 |     ms |
|                                                     error rate |                 wait-until-merges-finish |           0 |      % |
|                                                 Min Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                                Mean Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                              Median Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                                 Max Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                      0th percentile throughput |                         cheap-tip-amount |     6.00001 |     ms |
|                                     25th percentile throughput |                         cheap-tip-amount |     6.00002 |     ms |
|                                     50th percentile throughput |                         cheap-tip-amount |     6.00003 |     ms |
|                                     75th percentile throughput |                         cheap-tip-amount |     6.00005 |     ms |
|                                    100th percentile throughput |                         cheap-tip-amount |     6.00042 |     ms |
|                                         0th percentile latency |                         cheap-tip-amount |     1.60121 |     ms |
|                                        10th percentile latency |                         cheap-tip-amount |     2.25061 |     ms |
|                                        20th percentile latency |                         cheap-tip-amount |     2.51771 |     ms |
|                                        25th percentile latency |                         cheap-tip-amount |     2.64783 |     ms |
|                                        30th percentile latency |                         cheap-tip-amount |     2.78374 |     ms |
|                                        40th percentile latency |                         cheap-tip-amount |      3.8965 |     ms |
|                                        50th percentile latency |                         cheap-tip-amount |     4.31341 |     ms |
|                                        60th percentile latency |                         cheap-tip-amount |     4.57971 |     ms |
|                                        70th percentile latency |                         cheap-tip-amount |     4.82262 |     ms |
|                                        75th percentile latency |                         cheap-tip-amount |     4.96124 |     ms |
|                                        80th percentile latency |                         cheap-tip-amount |     5.15623 |     ms |
|                                        90th percentile latency |                         cheap-tip-amount |     6.02277 |     ms |
|                                        99th percentile latency |                         cheap-tip-amount |     8.12152 |     ms |
|                                      99.9th percentile latency |                         cheap-tip-amount |     10.6788 |     ms |
|                                     99.99th percentile latency |                         cheap-tip-amount |     13.9381 |     ms |
|                                       100th percentile latency |                         cheap-tip-amount |       21.64 |     ms |
|                                   50th percentile service time |                         cheap-tip-amount |     3.38162 |     ms |
|                                   90th percentile service time |                         cheap-tip-amount |     5.01163 |     ms |
|                                   99th percentile service time |                         cheap-tip-amount |     7.03441 |     ms |
|                                 99.9th percentile service time |                         cheap-tip-amount |     9.59162 |     ms |
|                                99.99th percentile service time |                         cheap-tip-amount |     12.6994 |     ms |
|                                  100th percentile service time |                         cheap-tip-amount |      20.737 |     ms |
|                                                     error rate |                         cheap-tip-amount |           0 |      % |
|                                                 Min Throughput |                        cheap-fare-amount |           6 |  ops/s |
|                                                Mean Throughput |                        cheap-fare-amount |           6 |  ops/s |
|                                              Median Throughput |                        cheap-fare-amount |           6 |  ops/s |
|                                                 Max Throughput |                        cheap-fare-amount |           6 |  ops/s |
|                                      0th percentile throughput |                        cheap-fare-amount |     6.00001 |     ms |
|                                     25th percentile throughput |                        cheap-fare-amount |     6.00002 |     ms |
|                                     50th percentile throughput |                        cheap-fare-amount |     6.00002 |     ms |
|                                     75th percentile throughput |                        cheap-fare-amount |     6.00004 |     ms |
|                                    100th percentile throughput |                        cheap-fare-amount |     6.00035 |     ms |
|                                         0th percentile latency |                        cheap-fare-amount |     1.73391 |     ms |
|                                        10th percentile latency |                        cheap-fare-amount |     2.37645 |     ms |
|                                        20th percentile latency |                        cheap-fare-amount |     2.63474 |     ms |
|                                        25th percentile latency |                        cheap-fare-amount |     2.76057 |     ms |
|                                        30th percentile latency |                        cheap-fare-amount |     2.90328 |     ms |
|                                        40th percentile latency |                        cheap-fare-amount |     3.71497 |     ms |
|                                        50th percentile latency |                        cheap-fare-amount |     4.24117 |     ms |
|                                        60th percentile latency |                        cheap-fare-amount |     4.56977 |     ms |
|                                        70th percentile latency |                        cheap-fare-amount |     4.90724 |     ms |
|                                        75th percentile latency |                        cheap-fare-amount |     5.09073 |     ms |
|                                        80th percentile latency |                        cheap-fare-amount |     5.35502 |     ms |
|                                        90th percentile latency |                        cheap-fare-amount |     6.19756 |     ms |
|                                        99th percentile latency |                        cheap-fare-amount |     8.58376 |     ms |
|                                      99.9th percentile latency |                        cheap-fare-amount |     10.3773 |     ms |
|                                     99.99th percentile latency |                        cheap-fare-amount |     12.6332 |     ms |
|                                       100th percentile latency |                        cheap-fare-amount |     14.1072 |     ms |
|                                   50th percentile service time |                        cheap-fare-amount |     3.23276 |     ms |
