|                                                 Min Throughput |                                    index |     15654.6 | docs/s |
|                                                Mean Throughput |                                    index |     17519.8 | docs/s |
|                                              Median Throughput |                                    index |     16611.3 | docs/s |
|                                                 Max Throughput |                                    index |     27982.8 | docs/s |
|                                      0th percentile throughput |                                    index |     15654.6 |     ms |
|                                     25th percentile throughput |                                    index |     16051.2 |     ms |
|                                     50th percentile throughput |                                    index |     16611.5 |     ms |
|                                     75th percentile throughput |                                    index |     18361.8 |     ms |
|                                    100th percentile throughput |                                    index |     27982.8 |     ms |
|                                         0th percentile latency |                                    index |     2043.95 |     ms |
|                                        10th percentile latency |                                    index |     8070.01 |     ms |
|                                        20th percentile latency |                                    index |     8759.93 |     ms |
|                                        25th percentile latency |                                    index |     9079.38 |     ms |
|                                        30th percentile latency |                                    index |     9322.08 |     ms |
|                                        40th percentile latency |                                    index |     9793.76 |     ms |
|                                        50th percentile latency |                                    index |     10299.2 |     ms |
|                                        60th percentile latency |                                    index |     10706.9 |     ms |
|                                        70th percentile latency |                                    index |     11126.4 |     ms |
|                                        75th percentile latency |                                    index |     11391.9 |     ms |
|                                        80th percentile latency |                                    index |     11726.1 |     ms |
|                                        90th percentile latency |                                    index |     12635.9 |     ms |
|                                        99th percentile latency |                                    index |     14134.3 |     ms |
|                                      99.9th percentile latency |                                    index |     15426.5 |     ms |
|                                     99.99th percentile latency |                                    index |     16398.1 |     ms |
|                                       100th percentile latency |                                    index |     16475.4 |     ms |
|                                   50th percentile service time |                                    index |     10299.1 |     ms |
|                                   90th percentile service time |                                    index |     12635.6 |     ms |
|                                   99th percentile service time |                                    index |     14135.1 |     ms |
|                                 99.9th percentile service time |                                    index |     15426.5 |     ms |
|                                99.99th percentile service time |                                    index |     16398.1 |     ms |
|                                  100th percentile service time |                                    index |     16475.4 |     ms |
|                                                     error rate |                                    index |           0 |      % |
|                                                 Min Throughput |                 wait-until-merges-finish |       60.73 |  ops/s |
|                                                Mean Throughput |                 wait-until-merges-finish |       60.73 |  ops/s |
|                                              Median Throughput |                 wait-until-merges-finish |       60.73 |  ops/s |
|                                                 Max Throughput |                 wait-until-merges-finish |       60.73 |  ops/s |
|                                    100th percentile throughput |                 wait-until-merges-finish |     60.7342 |     ms |
|                                       100th percentile latency |                 wait-until-merges-finish |     16.0303 |     ms |
|                                  100th percentile service time |                 wait-until-merges-finish |     16.0303 |     ms |
|                                                     error rate |                 wait-until-merges-finish |           0 |      % |
|                                                 Min Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                                Mean Throughput |                         cheap-tip-amount |           6 |  ops/s |
