|                                                 Min Throughput |                                    index |     15361.3 | docs/s |
|                                                Mean Throughput |                                    index |     17195.6 | docs/s |
|                                              Median Throughput |                                    index |     16324.9 | docs/s |
|                                                 Max Throughput |                                    index |     27728.9 | docs/s |
|                                      0th percentile throughput |                                    index |     15361.3 |     ms |
|                                     25th percentile throughput |                                    index |     15706.9 |     ms |
|                                     50th percentile throughput |                                    index |     16324.5 |     ms |
|                                     75th percentile throughput |                                    index |       17788 |     ms |
|                                    100th percentile throughput |                                    index |     27728.9 |     ms |
|                                         0th percentile latency |                                    index |     2208.13 |     ms |
|                                        10th percentile latency |                                    index |     8350.62 |     ms |
|                                        20th percentile latency |                                    index |     8993.43 |     ms |
|                                        25th percentile latency |                                    index |     9368.16 |     ms |
|                                        30th percentile latency |                                    index |     9672.48 |     ms |
|                                        40th percentile latency |                                    index |     10144.4 |     ms |
|                                        50th percentile latency |                                    index |     10541.2 |     ms |
|                                        60th percentile latency |                                    index |     10903.9 |     ms |
|                                        70th percentile latency |                                    index |       11324 |     ms |
|                                        75th percentile latency |                                    index |     11558.4 |     ms |
|                                        80th percentile latency |                                    index |     11848.1 |     ms |
|                                        90th percentile latency |                                    index |     12642.3 |     ms |
|                                        99th percentile latency |                                    index |       14354 |     ms |
|                                      99.9th percentile latency |                                    index |     15232.8 |     ms |
|                                     99.99th percentile latency |                                    index |     16019.5 |     ms |
|                                       100th percentile latency |                                    index |     16162.2 |     ms |
|                                   50th percentile service time |                                    index |     10541.9 |     ms |
|                                   90th percentile service time |                                    index |       12642 |     ms |
|                                   99th percentile service time |                                    index |     14350.4 |     ms |
|                                 99.9th percentile service time |                                    index |     15232.8 |     ms |
|                                99.99th percentile service time |                                    index |     16019.5 |     ms |
|                                  100th percentile service time |                                    index |     16162.2 |     ms |
|                                                     error rate |                                    index |           0 |      % |
|                                                 Min Throughput |                 wait-until-merges-finish |       62.71 |  ops/s |
|                                                Mean Throughput |                 wait-until-merges-finish |       62.71 |  ops/s |
|                                              Median Throughput |                 wait-until-merges-finish |       62.71 |  ops/s |
|                                                 Max Throughput |                 wait-until-merges-finish |       62.71 |  ops/s |
|                                    100th percentile throughput |                 wait-until-merges-finish |     62.7129 |     ms |
|                                       100th percentile latency |                 wait-until-merges-finish |     15.4116 |     ms |
|                                  100th percentile service time |                 wait-until-merges-finish |     15.4116 |     ms |
|                                                     error rate |                 wait-until-merges-finish |           0 |      % |
|                                                 Min Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                                Mean Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                              Median Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                                 Max Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                      0th percentile throughput |                         cheap-tip-amount |     6.00001 |     ms |
|                                     25th percentile throughput |                         cheap-tip-amount |     6.00001 |     ms |
|                                     50th percentile throughput |                         cheap-tip-amount |     6.00002 |     ms |
|                                     75th percentile throughput |                         cheap-tip-amount |     6.00004 |     ms |
|                                    100th percentile throughput |                         cheap-tip-amount |     6.00029 |     ms |
|                                         0th percentile latency |                         cheap-tip-amount |     1.58513 |     ms |
|                                        10th percentile latency |                         cheap-tip-amount |     2.18487 |     ms |
|                                        20th percentile latency |                         cheap-tip-amount |     2.41162 |     ms |
|                                        25th percentile latency |                         cheap-tip-amount |     2.52298 |     ms |
|                                        30th percentile latency |                         cheap-tip-amount |     2.63145 |     ms |
