|                                      99.9th percentile latency |                        cheap-fare-amount |      12.581 |     ms |
|                                     99.99th percentile latency |                        cheap-fare-amount |     497.365 |     ms |
|                                       100th percentile latency |                        cheap-fare-amount |     726.516 |     ms |
|                                   50th percentile service time |                        cheap-fare-amount |     4.41897 |     ms |
|                                   90th percentile service time |                        cheap-fare-amount |     6.28692 |     ms |
|                                   99th percentile service time |                        cheap-fare-amount |     9.19869 |     ms |
|                                 99.9th percentile service time |                        cheap-fare-amount |     10.7434 |     ms |
|                                99.99th percentile service time |                        cheap-fare-amount |     199.616 |     ms |
|                                  100th percentile service time |                        cheap-fare-amount |     725.565 |     ms |
|                                                     error rate |                        cheap-fare-amount |           0 |      % |
|                                                 Min Throughput |                       cheap-total-amount |           6 |  ops/s |
|                                                Mean Throughput |                       cheap-total-amount |           6 |  ops/s |
|                                              Median Throughput |                       cheap-total-amount |           6 |  ops/s |
|                                                 Max Throughput |                       cheap-total-amount |           6 |  ops/s |
|                                      0th percentile throughput |                       cheap-total-amount |     5.99887 |     ms |
|                                     25th percentile throughput |                       cheap-total-amount |     5.99985 |     ms |
|                                     50th percentile throughput |                       cheap-total-amount |     5.99992 |     ms |
|                                     75th percentile throughput |                       cheap-total-amount |     5.99995 |     ms |
|                                    100th percentile throughput |                       cheap-total-amount |     5.99996 |     ms |
|                                         0th percentile latency |                       cheap-total-amount |     1.94069 |     ms |
|                                        10th percentile latency |                       cheap-total-amount |     2.97904 |     ms |
|                                        20th percentile latency |                       cheap-total-amount |     4.55128 |     ms |
|                                        25th percentile latency |                       cheap-total-amount |     4.76663 |     ms |
|                                        30th percentile latency |                       cheap-total-amount |     4.93072 |     ms |
|                                        40th percentile latency |                       cheap-total-amount |     5.20137 |     ms |
|                                        50th percentile latency |                       cheap-total-amount |      5.4857 |     ms |
|                                        60th percentile latency |                       cheap-total-amount |     5.84032 |     ms |
|                                        70th percentile latency |                       cheap-total-amount |     6.41898 |     ms |
|                                        75th percentile latency |                       cheap-total-amount |     6.72398 |     ms |
|                                        80th percentile latency |                       cheap-total-amount |     7.01664 |     ms |
|                                        90th percentile latency |                       cheap-total-amount |     7.70292 |     ms |
|                                        99th percentile latency |                       cheap-total-amount |     10.6448 |     ms |
|                                      99.9th percentile latency |                       cheap-total-amount |     13.0438 |     ms |
|                                     99.99th percentile latency |                       cheap-total-amount |     147.795 |     ms |
|                                       100th percentile latency |                       cheap-total-amount |     340.596 |     ms |
|                                   50th percentile service time |                       cheap-total-amount |     4.39211 |     ms |
|                                   90th percentile service time |                       cheap-total-amount |     6.58636 |     ms |
|                                   99th percentile service time |                       cheap-total-amount |     9.57571 |     ms |
|                                 99.9th percentile service time |                       cheap-total-amount |     12.0325 |     ms |
|                                99.99th percentile service time |                       cheap-total-amount |     119.113 |     ms |
|                                  100th percentile service time |                       cheap-total-amount |     340.073 |     ms |
|                                                     error rate |                       cheap-total-amount |           0 |      % |
|                                                 Min Throughput |                             cheap-pickup |           6 |  ops/s |
|                                                Mean Throughput |                             cheap-pickup |           6 |  ops/s |
|                                              Median Throughput |                             cheap-pickup |           6 |  ops/s |
|                                                 Max Throughput |                             cheap-pickup |           6 |  ops/s |
|                                      0th percentile throughput |                             cheap-pickup |     5.99951 |     ms |
|                                     25th percentile throughput |                             cheap-pickup |     5.99994 |     ms |
|                                     50th percentile throughput |                             cheap-pickup |     5.99997 |     ms |
|                                     75th percentile throughput |                             cheap-pickup |     5.99998 |     ms |
|                                    100th percentile throughput |                             cheap-pickup |     5.99998 |     ms |
|                                         0th percentile latency |                             cheap-pickup |     1.99411 |     ms |
|                                        10th percentile latency |                             cheap-pickup |     3.11206 |     ms |
|                                        20th percentile latency |                             cheap-pickup |     5.47034 |     ms |
|                                        25th percentile latency |                             cheap-pickup |     5.64135 |     ms |
|                                        30th percentile latency |                             cheap-pickup |     5.76455 |     ms |
|                                        40th percentile latency |                             cheap-pickup |      5.9705 |     ms |
|                                        50th percentile latency |                             cheap-pickup |     6.16853 |     ms |
|                                        60th percentile latency |                             cheap-pickup |     6.41767 |     ms |
|                                        70th percentile latency |                             cheap-pickup |     7.21138 |     ms |
|                                        75th percentile latency |                             cheap-pickup |     7.82739 |     ms |
|                                        80th percentile latency |                             cheap-pickup |     8.25504 |     ms |
|                                        90th percentile latency |                             cheap-pickup |     8.90877 |     ms |
|                                        99th percentile latency |                             cheap-pickup |     9.74061 |     ms |
|                                      99.9th percentile latency |                             cheap-pickup |     13.1757 |     ms |
|                                     99.99th percentile latency |                             cheap-pickup |     17.7999 |     ms |
|                                       100th percentile latency |                             cheap-pickup |     41.9114 |     ms |
|                                   50th percentile service time |                             cheap-pickup |     5.04735 |     ms |
|                                   90th percentile service time |                             cheap-pickup |     7.82527 |     ms |
|                                   99th percentile service time |                             cheap-pickup |     8.43013 |     ms |
|                                 99.9th percentile service time |                             cheap-pickup |     11.9453 |     ms |
|                                99.99th percentile service time |                             cheap-pickup |     16.6253 |     ms |
|                                  100th percentile service time |                             cheap-pickup |     41.2542 |     ms |
|                                                     error rate |                             cheap-pickup |           0 |      % |
|                                                 Min Throughput |                            cheap-dropoff |           6 |  ops/s |
|                                                Mean Throughput |                            cheap-dropoff |           6 |  ops/s |
|                                              Median Throughput |                            cheap-dropoff |           6 |  ops/s |
|                                                 Max Throughput |                            cheap-dropoff |           6 |  ops/s |
|                                      0th percentile throughput |                            cheap-dropoff |     5.99872 |     ms |
|                                     25th percentile throughput |                            cheap-dropoff |     5.99994 |     ms |
|                                     50th percentile throughput |                            cheap-dropoff |     5.99997 |     ms |
|                                     75th percentile throughput |                            cheap-dropoff |     5.99998 |     ms |
|                                    100th percentile throughput |                            cheap-dropoff |     5.99998 |     ms |
|                                         0th percentile latency |                            cheap-dropoff |     2.15062 |     ms |
|                                        10th percentile latency |                            cheap-dropoff |     3.05704 |     ms |
|                                        20th percentile latency |                            cheap-dropoff |     5.42029 |     ms |
|                                        25th percentile latency |                            cheap-dropoff |     5.58274 |     ms |
|                                        30th percentile latency |                            cheap-dropoff |     5.69917 |     ms |
|                                        40th percentile latency |                            cheap-dropoff |     5.90342 |     ms |
|                                        50th percentile latency |                            cheap-dropoff |     6.09896 |     ms |
|                                        60th percentile latency |                            cheap-dropoff |     6.35514 |     ms |
|                                        70th percentile latency |                            cheap-dropoff |     7.19469 |     ms |
|                                        75th percentile latency |                            cheap-dropoff |     7.80262 |     ms |
|                                        80th percentile latency |                            cheap-dropoff |     8.21058 |     ms |
|                                        90th percentile latency |                            cheap-dropoff |     8.82727 |     ms |
|                                        99th percentile latency |                            cheap-dropoff |     9.65957 |     ms |
|                                      99.9th percentile latency |                            cheap-dropoff |      13.657 |     ms |
|                                     99.99th percentile latency |                            cheap-dropoff |     591.832 |     ms |
|                                       100th percentile latency |                            cheap-dropoff |     950.951 |     ms |
|                                   50th percentile service time |                            cheap-dropoff |      4.9924 |     ms |
|                                   90th percentile service time |                            cheap-dropoff |     7.77075 |     ms |
|                                   99th percentile service time |                            cheap-dropoff |     8.32357 |     ms |
|                                 99.9th percentile service time |                            cheap-dropoff |     12.0318 |     ms |
|                                99.99th percentile service time |                            cheap-dropoff |     436.826 |     ms |
|                                  100th percentile service time |                            cheap-dropoff |     949.726 |     ms |
|                                                     error rate |                            cheap-dropoff |           0 |      % |
|                                                 Min Throughput |                            autohisto-agg |         1.5 |  ops/s |
|                                                Mean Throughput |                            autohisto-agg |         1.5 |  ops/s |
|                                              Median Throughput |                            autohisto-agg |         1.5 |  ops/s |
|                                                 Max Throughput |                            autohisto-agg |         1.5 |  ops/s |
|                                      0th percentile throughput |                            autohisto-agg |     1.50007 |     ms |
|                                     25th percentile throughput |                            autohisto-agg |     1.50009 |     ms |
|                                     50th percentile throughput |                            autohisto-agg |     1.50013 |     ms |
|                                     75th percentile throughput |                            autohisto-agg |     1.50025 |     ms |
|                                    100th percentile throughput |                            autohisto-agg |      1.5019 |     ms |
|                                         0th percentile latency |                            autohisto-agg |     3.04712 |     ms |
|                                        10th percentile latency |                            autohisto-agg |     5.21558 |     ms |
|                                        20th percentile latency |                            autohisto-agg |     26.4182 |     ms |
|                                        25th percentile latency |                            autohisto-agg |     30.9529 |     ms |
|                                        30th percentile latency |                            autohisto-agg |     34.8654 |     ms |
|                                        40th percentile latency |                            autohisto-agg |     43.9209 |     ms |
|                                        50th percentile latency |                            autohisto-agg |     57.7718 |     ms |
|                                        60th percentile latency |                            autohisto-agg |     74.5537 |     ms |
|                                        70th percentile latency |                            autohisto-agg |     96.0954 |     ms |
|                                        75th percentile latency |                            autohisto-agg |     109.237 |     ms |
|                                        80th percentile latency |                            autohisto-agg |     123.745 |     ms |
|                                        90th percentile latency |                            autohisto-agg |     163.789 |     ms |
|                                        99th percentile latency |                            autohisto-agg |     219.339 |     ms |
|                                      99.9th percentile latency |                            autohisto-agg |     251.044 |     ms |
|                                       100th percentile latency |                            autohisto-agg |     367.591 |     ms |
|                                   50th percentile service time |                            autohisto-agg |     56.1956 |     ms |
|                                   90th percentile service time |                            autohisto-agg |     162.157 |     ms |
|                                   99th percentile service time |                            autohisto-agg |      217.85 |     ms |
|                                 99.9th percentile service time |                            autohisto-agg |     249.486 |     ms |
|                                  100th percentile service time |                            autohisto-agg |     365.384 |     ms |
|                                                     error rate |                            autohisto-agg |           0 |      % |
|                                                 Min Throughput |                       date-histogram-agg |         1.5 |  ops/s |
|                                                Mean Throughput |                       date-histogram-agg |         1.5 |  ops/s |
|                                              Median Throughput |                       date-histogram-agg |         1.5 |  ops/s |
|                                                 Max Throughput |                       date-histogram-agg |         1.5 |  ops/s |
|                                      0th percentile throughput |                       date-histogram-agg |     1.50013 |     ms |
|                                     25th percentile throughput |                       date-histogram-agg |     1.50017 |     ms |
|                                     50th percentile throughput |                       date-histogram-agg |     1.50025 |     ms |
|                                     75th percentile throughput |                       date-histogram-agg |     1.50047 |     ms |
