|                                                 Min Throughput |                                    index |     15079.3 | docs/s |
|                                                Mean Throughput |                                    index |     16978.7 | docs/s |
|                                              Median Throughput |                                    index |       16135 | docs/s |
|                                                 Max Throughput |                                    index |     28090.9 | docs/s |
|                                      0th percentile throughput |                                    index |     15079.3 |     ms |
|                                     25th percentile throughput |                                    index |     15517.1 |     ms |
|                                     50th percentile throughput |                                    index |     16136.3 |     ms |
|                                     75th percentile throughput |                                    index |     17852.6 |     ms |
|                                    100th percentile throughput |                                    index |     28090.9 |     ms |
|                                         0th percentile latency |                                    index |     2170.58 |     ms |
|                                        10th percentile latency |                                    index |     8588.51 |     ms |
|                                        20th percentile latency |                                    index |     9276.16 |     ms |
|                                        25th percentile latency |                                    index |     9586.17 |     ms |
|                                        30th percentile latency |                                    index |     9820.64 |     ms |
|                                        40th percentile latency |                                    index |     10281.7 |     ms |
|                                        50th percentile latency |                                    index |     10703.6 |     ms |
|                                        60th percentile latency |                                    index |     11151.6 |     ms |
|                                        70th percentile latency |                                    index |     11601.9 |     ms |
|                                        75th percentile latency |                                    index |     11843.7 |     ms |
|                                        80th percentile latency |                                    index |     12156.3 |     ms |
|                                        90th percentile latency |                                    index |     12968.6 |     ms |
|                                        99th percentile latency |                                    index |     14516.2 |     ms |
|                                      99.9th percentile latency |                                    index |     15359.1 |     ms |
|                                     99.99th percentile latency |                                    index |     15862.2 |     ms |
|                                       100th percentile latency |                                    index |     16273.5 |     ms |
|                                   50th percentile service time |                                    index |     10703.4 |     ms |
|                                   90th percentile service time |                                    index |     12968.4 |     ms |
|                                   99th percentile service time |                                    index |     14513.7 |     ms |
|                                 99.9th percentile service time |                                    index |     15359.1 |     ms |
|                                99.99th percentile service time |                                    index |     15862.2 |     ms |
|                                  100th percentile service time |                                    index |     16273.5 |     ms |
|                                                     error rate |                                    index |           0 |      % |
|                                                 Min Throughput |                 wait-until-merges-finish |       52.74 |  ops/s |
|                                                Mean Throughput |                 wait-until-merges-finish |       52.74 |  ops/s |
|                                              Median Throughput |                 wait-until-merges-finish |       52.74 |  ops/s |
|                                                 Max Throughput |                 wait-until-merges-finish |       52.74 |  ops/s |
|                                    100th percentile throughput |                 wait-until-merges-finish |     52.7439 |     ms |
|                                       100th percentile latency |                 wait-until-merges-finish |     18.5923 |     ms |
|                                  100th percentile service time |                 wait-until-merges-finish |     18.5923 |     ms |
|                                                     error rate |                 wait-until-merges-finish |           0 |      % |
|                                                 Min Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                                Mean Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                              Median Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                                 Max Throughput |                         cheap-tip-amount |           6 |  ops/s |
|                                      0th percentile throughput |                         cheap-tip-amount |     5.99979 |     ms |
|                                     25th percentile throughput |                         cheap-tip-amount |     5.99997 |     ms |
|                                     50th percentile throughput |                         cheap-tip-amount |     5.99999 |     ms |
|                                     75th percentile throughput |                         cheap-tip-amount |     5.99999 |     ms |
|                                    100th percentile throughput |                         cheap-tip-amount |     5.99999 |     ms |
|                                         0th percentile latency |                         cheap-tip-amount |     2.00464 |     ms |
|                                        10th percentile latency |                         cheap-tip-amount |     4.51875 |     ms |
|                                        20th percentile latency |                         cheap-tip-amount |     4.81975 |     ms |
|                                        25th percentile latency |                         cheap-tip-amount |     4.93601 |     ms |
|                                        30th percentile latency |                         cheap-tip-amount |     5.05255 |     ms |
|                                        40th percentile latency |                         cheap-tip-amount |     5.28802 |     ms |
|                                        50th percentile latency |                         cheap-tip-amount |     5.56333 |     ms |
|                                        60th percentile latency |                         cheap-tip-amount |     5.91866 |     ms |
|                                        70th percentile latency |                         cheap-tip-amount |     6.35414 |     ms |
|                                        75th percentile latency |                         cheap-tip-amount |     6.59566 |     ms |
|                                        80th percentile latency |                         cheap-tip-amount |     6.87874 |     ms |
|                                        90th percentile latency |                         cheap-tip-amount |     7.53388 |     ms |
|                                        99th percentile latency |                         cheap-tip-amount |     9.60154 |     ms |
|                                      99.9th percentile latency |                         cheap-tip-amount |     11.9712 |     ms |
|                                     99.99th percentile latency |                         cheap-tip-amount |     13.6678 |     ms |
|                                       100th percentile latency |                         cheap-tip-amount |     14.2329 |     ms |
|                                   50th percentile service time |                         cheap-tip-amount |     4.42871 |     ms |
|                                   90th percentile service time |                         cheap-tip-amount |      6.4519 |     ms |
|                                   99th percentile service time |                         cheap-tip-amount |     8.43358 |     ms |
|                                 99.9th percentile service time |                         cheap-tip-amount |     10.7489 |     ms |
|                                99.99th percentile service time |                         cheap-tip-amount |     12.4275 |     ms |
|                                  100th percentile service time |                         cheap-tip-amount |     12.9283 |     ms |
|                                                     error rate |                         cheap-tip-amount |           0 |      % |
|                                                 Min Throughput |                        cheap-fare-amount |           6 |  ops/s |
|                                                Mean Throughput |                        cheap-fare-amount |           6 |  ops/s |
|                                              Median Throughput |                        cheap-fare-amount |           6 |  ops/s |
|                                                 Max Throughput |                        cheap-fare-amount |           6 |  ops/s |
|                                      0th percentile throughput |                        cheap-fare-amount |     5.99971 |     ms |
|                                     25th percentile throughput |                        cheap-fare-amount |     5.99996 |     ms |
|                                     50th percentile throughput |                        cheap-fare-amount |     5.99998 |     ms |
|                                     75th percentile throughput |                        cheap-fare-amount |     5.99999 |     ms |
|                                    100th percentile throughput |                        cheap-fare-amount |     5.99999 |     ms |
|                                         0th percentile latency |                        cheap-fare-amount |     2.99218 |     ms |
|                                        10th percentile latency |                        cheap-fare-amount |     4.60348 |     ms |
|                                        20th percentile latency |                        cheap-fare-amount |     4.89936 |     ms |
|                                        25th percentile latency |                        cheap-fare-amount |     5.02349 |     ms |
|                                        30th percentile latency |                        cheap-fare-amount |     5.13886 |     ms |
|                                        40th percentile latency |                        cheap-fare-amount |     5.38939 |     ms |
|                                        50th percentile latency |                        cheap-fare-amount |     5.63775 |     ms |
|                                        60th percentile latency |                        cheap-fare-amount |     5.95158 |     ms |
|                                        70th percentile latency |                        cheap-fare-amount |     6.34177 |     ms |
|                                        75th percentile latency |                        cheap-fare-amount |     6.59181 |     ms |
|                                        80th percentile latency |                        cheap-fare-amount |     6.86804 |     ms |
|                                        90th percentile latency |                        cheap-fare-amount |     7.58063 |     ms |
|                                        99th percentile latency |                        cheap-fare-amount |     10.2414 |     ms |
|                                      99.9th percentile latency |                        cheap-fare-amount |      12.041 |     ms |
|                                     99.99th percentile latency |                        cheap-fare-amount |     14.1562 |     ms |
|                                       100th percentile latency |                        cheap-fare-amount |     14.6314 |     ms |
|                                   50th percentile service time |                        cheap-fare-amount |     4.56357 |     ms |
|                                   90th percentile service time |                        cheap-fare-amount |     6.44635 |     ms |
|                                   99th percentile service time |                        cheap-fare-amount |     9.14748 |     ms |
|                                 99.9th percentile service time |                        cheap-fare-amount |      10.923 |     ms |
|                                99.99th percentile service time |                        cheap-fare-amount |     13.1919 |     ms |
|                                  100th percentile service time |                        cheap-fare-amount |     13.6942 |     ms |
|                                                     error rate |                        cheap-fare-amount |           0 |      % |
|                                                 Min Throughput |                       cheap-total-amount |           6 |  ops/s |
|                                                Mean Throughput |                       cheap-total-amount |           6 |  ops/s |
|                                              Median Throughput |                       cheap-total-amount |           6 |  ops/s |
|                                                 Max Throughput |                       cheap-total-amount |           6 |  ops/s |
|                                      0th percentile throughput |                       cheap-total-amount |     5.99974 |     ms |
|                                     25th percentile throughput |                       cheap-total-amount |     5.99997 |     ms |
|                                     50th percentile throughput |                       cheap-total-amount |     5.99998 |     ms |
